,Branch_ID,Branch_Name,Region,Customer_ID,Customer_Name,Gender,Age,Credit_Type,Credit_Amount,Interest_Rate,Loan_Term_Months,Start_Date,Payment_Status,Income_Level,Marital_Status,Occupation,Account_Balance,Credit_Score,Region_Code,Risk_Level,region,district,district_population,branch_count,clients_in_district_rows,active_clients_district,need_for_bank_service
10,653,Qashqadaryo,Namangan viloyati - Pop,74f19cb6-7d08-4ef5-ab84-5faabab911a2,Michael Leach,erkak,64,Ta'lim,22453831,11.68,36,2023-04-25,Kechikkan,O'rtacha,Turmush qurgan,Tadbirkor,44374780,850,10,Past,Navoiy,Zarafshon,20067,0,227,666,0.967
11,702,Xorazm,Buxoro viloyati - G‘ijduvon,936ea98d-7dce-4e60-989c-71c4845dfb9a,Samuel Contreras,erkak,24,Ta'lim,259278231,21.0,72,2022-09-18,Jarayonda,Past,Turmush qurgan,Tadbirkor,77973047,722,9,O'rtacha,Buxoro,G‘ijduvon,62601,2,233,6501,0.896
12,257,Samarqand,Farg‘ona viloyati - Farg‘ona,ebc04235-d760-4d4d-b821-452ef08532bc,Rebecca Potter,ayol,19,Ta'lim,226329002,19.33,24,2024-10-21,To'langan,Yuqori,Yolg'iz,Talaba,57023929,512,12,O'rtacha,Samarqand,Oqdaryo,212559,2,113,26189,0.877
13,639,Toshkent,Qoraqalpog‘iston - Taxiatosh,3d07080c-a53d-4eda-a3ba-fed4ffab0be2,Kelly Lee,erkak,23,Biznes,254550524,16.51,24,2024-01-26,Kechikkan,O'rtacha,Turmush qurgan,Talaba,46846971,429,5,O'rtacha,Samarqand,Oqdaryo,212559,3,113,26189,0.877
14,279,Andijon,Surxondaryo viloyati - Sherobod,34f03dd2-5a0c-4f9f-b1c8-149ad7c5d9de,Jeffrey Wilson,ayol,54,Ta'lim,216800014,12.4,60,2023-02-27,Kechikkan,Yuqori,Yolg'iz,Talaba,11641784,498,9,O'rtacha,Buxoro,Buxoro,1000,0,218,59,0.941
15,273,Surxondaryo,Surxondaryo viloyati - Sherobod,57dc38ac-d69f-4b46-85ec-f4112901fb43,Christopher Davis,ayol,45,Avtokredit,41727954,21.01,24,2020-10-27,To'langan,O'rtacha,Turmush qurgan,O'qituvchi,60717949,835,9,Past,Buxoro,G‘ijduvon,62601,2,233,6501,0.896
16,415,Qoraqalpog‘iston,Namangan viloyati - Pop,c46589dc-e882-43fe-9df4-25ced62504bc,Nicholas Richard,ayol,43,Fermerlik,291364961,24.15,72,2025-08-03,Jarayonda,Yuqori,Yolg'iz,Fermer,57913030,735,9,Past,Namangan,Pop,440092,4,239,25049,0.943
17,897,Sirdaryo,Qoraqalpog‘iston - Chimboy,1c8fa308-90cf-4b8d-8faa-7b650d219ff0,Crystal Greer,ayol,52,Ipoteka,385380614,16.66,24,2024-03-07,Jarayonda,Past,Yolg'iz,Talaba,74273171,413,6,Past,Namangan,Chortoq,210264,3,236,9822,0.953
18,545,Samarqand,Sirdaryo viloyati - Sirdaryo,c25dbd67-87aa-4f46-ae4a-1508ec4ed7a3,Stephanie Floyd,ayol,46,Biznes,258630424,20.44,48,2023-07-01,Jarayonda,Past,Turmush qurgan,Tadbirkor,97194210,472,5,Yuqori,Buxoro,G‘ijduvon,62601,1,233,6501,0.896
19,332,Farg‘ona,Farg‘ona viloyati - Marg‘ilon,a0d106fc-1c7d-47bd-9755-6716a465580a,Michael Fernandez,ayol,64,Biznes,467537411,16.87,72,2021-01-08,Kechikkan,Yuqori,Yolg'iz,Tadbirkor,23059343,425,7,Past,Sirdaryo,Shirin,77686,2,255,9183,0.882
20,726,Samarqand,Toshkent viloyati - Chirchiq,1cb033c3-2eab-4c69-a345-4befef6bfc49,Stephanie Wood,ayol,57,Biznes,302102339,15.28,60,2022-04-10,Jarayonda,Yuqori,Yolg'iz,Tadbirkor,23692668,374,8,Past,Andijon,Shahrixon,337056,4,228,20126,0.94
21,709,Surxondaryo,Jizzax viloyati - G‘allaorol,89aa1c0f-3988-408b-a436-6618c6531d8c,Monica Marsh,erkak,52,Ipoteka,104331507,24.56,72,2024-05-26,To'langan,O'rtacha,Yolg'iz,Talaba,54453159,597,2,Past,Samarqand,Nurobod,41107,1,127,1459,0.965
22,318,Farg‘ona,Andijon viloyati - Shahrixon,1c8b6e2f-0da1-4da1-8aa9-520c61343944,Kyle Lee,ayol,43,Fermerlik,466448467,11.72,48,2022-02-12,To'langan,Past,Turmush qurgan,Ishchi,36025647,455,15,O'rtacha,Jizzax,G‘allaorol,17080,1,240,1129,0.934
23,239,Toshkent,Toshkent viloyati - Chirchiq,73767d5f-b9e8-4e42-9062-e757915d1903,Tracy Garcia,ayol,39,Ta'lim,106377003,20.92,48,2024-12-13,Kechikkan,Past,Yolg'iz,O'qituvchi,18298072,671,14,Yuqori,Xorazm,Xiva,26077,0,243,1762,0.932
24,760,Toshkent,Xorazm viloyati - Xiva,6a0f9ed1-469b-41d0-8842-94f344fd9b1f,Robert Price,erkak,56,Ipoteka,235366761,24.42,72,2021-10-25,Kechikkan,Yuqori,Turmush qurgan,Boshqaruvchi,70432042,301,11,O'rtacha,Fargʻona,Qo‘qon,283539,3,211,26120,0.908
25,603,Jizzax,Xorazm viloyati - Yangibozor,f31b9bab-3f24-4b6c-8e62-446bdce095a7,Michele Graham,erkak,39,Avtokredit,261063931,10.37,12,2025-02-09,Kechikkan,Past,Yolg'iz,Talaba,87446073,507,3,O'rtacha,Surxondaryo,Denov,128469,2,219,5813,0.955
26,936,Sirdaryo,Farg‘ona viloyati - Qo‘qon,04869ee5-690a-4a67-8103-96fac857c9cf,James Aguilar,erkak,58,Ta'lim,453470387,24.92,60,2024-01-07,Jarayonda,O'rtacha,Yolg'iz,Boshqaruvchi,71594608,810,11,Past,Qoraqalpogʻiston Respublikasi,Nukus,550856,7,230,52910,0.904
27,411,Navoiy,Samarqand viloyati - Nurobod,59d7e06e-4dc6-4ec9-a1a3-0706848f44aa,Robert Molina,erkak,19,Avtokredit,194506396,15.59,36,2022-06-17,To'langan,Past,Yolg'iz,O'qituvchi,45402107,369,1,Past,Jizzax,Jizzax,78543,1,235,3949,0.95
28,556,Namangan,Farg‘ona viloyati - Farg‘ona,f0d9fc46-3993-45ad-bc69-bdf7d48b9c48,Barry Miranda,ayol,43,Biznes,200501489,12.77,24,2023-08-31,To'langan,Past,Yolg'iz,Fermer,16052086,687,1,O'rtacha,Surxondaryo,Denov,128469,1,219,5813,0.955
29,880,Toshkent,Surxondaryo viloyati - Sherobod,8d54b1de-09db-4009-97b8-e03c77264e56,Susan Ochoa,erkak,53,Ipoteka,440288990,15.02,60,2024-08-12,Jarayonda,O'rtacha,Turmush qurgan,Talaba,71149403,396,8,Yuqori,Fargʻona,Marg‘ilon,251803,4,266,15042,0.94
30,232,Andijon,Qoraqalpog‘iston - Nukus,efc6a46c-863e-4310-a30a-6c3d1a426113,David Hayes,ayol,21,Ta'lim,42799400,17.04,72,2021-01-05,Jarayonda,O'rtacha,Turmush qurgan,Talaba,76358087,474,15,Past,Qashqadaryo,Kitob,16310,0,77,1493,0.908
31,787,Surxondaryo,Qashqadaryo viloyati - Shahrisabz,34e0b460-1566-488b-a061-7fa3ef673a57,Jose Guerra,ayol,31,Biznes,289238953,14.21,24,2021-07-04,Kechikkan,O'rtacha,Yolg'iz,Boshqaruvchi,31667519,654,5,O'rtacha,Toshkent shahri,Sergeli,193458,3,98,4762,0.975
32,645,Andijon,Surxondaryo viloyati - Denov,0b86872e-2f2c-4dff-b490-a91a0f77f274,Jennifer Thomas,erkak,26,Ipoteka,332294248,17.68,12,2022-08-30,To'langan,Past,Turmush qurgan,Ishchi,91360516,362,1,Past,Fargʻona,Farg‘ona,152849,2,234,5735,0.962
33,773,Andijon,Surxondaryo viloyati - Termiz,b4f5fb88-4b22-41cc-b15a-b68b1963d1bf,James Hunter,ayol,43,Avtokredit,434939733,19.21,60,2021-07-03,To'langan,Yuqori,Turmush qurgan,Ishchi,23779788,734,6,Past,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,1,241,14462,0.903
34,842,Samarqand,Surxondaryo viloyati - Sherobod,34fa3efd-bba3-47fb-b0f0-f70b1e2df813,Danielle Holt,ayol,60,Ipoteka,265107617,24.45,48,2023-09-13,Kechikkan,Yuqori,Yolg'iz,Tadbirkor,15267349,734,2,Yuqori,Qashqadaryo,Mirishkor,20029,1,59,673,0.966
35,416,Surxondaryo,Surxondaryo viloyati - Termiz,d1e5462d-26b4-488c-8c24-0815668253d3,Theresa Grant,erkak,18,Ta'lim,118937993,22.5,12,2022-06-23,Jarayonda,Past,Turmush qurgan,Fermer,20784182,690,14,Past,Qashqadaryo,Koson,6646,0,81,876,0.868
36,842,Qoraqalpog‘iston,Jizzax viloyati - Jizzax,215b5621-ad84-4357-9319-c0280b39e0fa,Alejandro Gray,ayol,18,Biznes,8078485,14.79,48,2023-11-30,Kechikkan,Yuqori,Yolg'iz,Boshqaruvchi,42028197,444,11,Yuqori,Toshkent shahri,Chilonzor,269202,4,87,31888,0.882
37,792,Qashqadaryo,Samarqand viloyati - Nurobod,58ba2ca6-6521-4201-b33d-a04f0df17478,Jerry Parker,erkak,36,Biznes,235892287,22.93,36,2021-02-26,Kechikkan,O'rtacha,Yolg'iz,Talaba,77074626,833,7,Past,Navoiy,Zarafshon,20067,1,227,666,0.967
38,232,Namangan,Qashqadaryo viloyati - Yakkabog‘,2e16bc6c-c5a5-447f-af11-6b63f719e221,Michelle Hubbard,ayol,39,Biznes,168190359,24.95,60,2020-12-10,To'langan,Yuqori,Yolg'iz,O'qituvchi,61135462,832,8,Yuqori,Toshkent viloyati,Bekobod,360270,4,102,12267,0.966
39,131,Qashqadaryo,Buxoro viloyati - Kogon,661ab2e9-fc9e-49b2-b81a-d08c9881c85d,Mr. Benjamin Johnson,ayol,58,Fermerlik,308473876,11.99,60,2023-11-25,To'langan,O'rtacha,Turmush qurgan,Talaba,53300555,616,15,O'rtacha,Jizzax,Do‘stlik,92508,1,249,6524,0.929
40,671,Toshkent,Buxoro viloyati - Kogon,d0f3e481-9e89-4a04-9bef-7a83e45c00e9,Patricia Ferrell,ayol,60,Biznes,347765073,15.54,12,2023-07-08,To'langan,O'rtacha,Turmush qurgan,O'qituvchi,21238804,629,2,Yuqori,Andijon,Asaka,302451,4,236,42183,0.861
41,705,Samarqand,Samarqand viloyati - Nurobod,fed546a0-e1cb-491f-8225-9d7bb9f5a86e,Aaron Hull,erkak,22,Avtokredit,341965528,15.8,60,2022-11-09,Jarayonda,Yuqori,Turmush qurgan,O'qituvchi,93299137,722,2,Past,Sirdaryo,Guliston,55176,1,235,4862,0.912
42,361,Buxoro,Buxoro viloyati - Buxoro,d76253a4-9146-48c3-b336-8e583bdaedb8,Brenda Sanchez,ayol,51,Ta'lim,110843892,22.41,36,2023-04-24,To'langan,Yuqori,Turmush qurgan,Fermer,71404320,742,1,Past,Surxondaryo,Sherobod,218888,2,257,13143,0.94
43,806,Qoraqalpog‘iston,Samarqand viloyati - Nurobod,9f514be8-5b4f-4c01-af9b-f16c126e6f73,Richard Martinez,ayol,20,Ta'lim,192750829,13.95,48,2021-06-20,To'langan,O'rtacha,Yolg'iz,Ishchi,62262005,589,11,O'rtacha,Fargʻona,Marg‘ilon,251803,4,266,15042,0.94
44,311,Namangan,Qashqadaryo viloyati - Beshkent,a612adb4-f146-41ae-855a-46f917a986a1,Austin Taylor,ayol,55,Avtokredit,51029222,21.93,48,2024-02-23,To'langan,O'rtacha,Yolg'iz,O'qituvchi,65447600,517,8,Yuqori,Toshkent shahri,Mirzo Ulug‘bek,2171,0,101,261,0.88
45,794,Namangan,Sirdaryo viloyati - Shirin,636ecc3d-c970-42a4-a7ad-ee81c072e99d,Rhonda Perez,ayol,53,Avtokredit,19082758,19.39,12,2021-07-27,Jarayonda,O'rtacha,Turmush qurgan,O'qituvchi,94255787,339,7,Past,Jizzax,G‘allaorol,17080,1,240,1129,0.934
46,498,Sirdaryo,Navoiy viloyati - Navoiy,4e1fd748-48b8-475f-bd1c-8196f417c8b7,Shane Olson,ayol,39,Fermerlik,316248865,24.78,60,2024-12-11,To'langan,O'rtacha,Yolg'iz,Tadbirkor,16748405,334,7,O'rtacha,Toshkent viloyati,Yangiyo‘l,9906,1,127,324,0.967
47,988,Navoiy,Toshkent viloyati - Bekobod,769976d2-a010-4a6f-997e-fcd719e2b821,Holly Morris,ayol,25,Biznes,325163292,18.0,36,2023-08-29,Jarayonda,O'rtacha,Yolg'iz,Boshqaruvchi,90899156,814,7,Yuqori,Toshkent viloyati,Chirchiq,373498,4,131,24067,0.936
48,916,Surxondaryo,Toshkent shahri,68802c99-b9b4-4c8e-8ad0-6de4d3a4203c,Christopher Lowe,erkak,39,Avtokredit,466285481,20.24,24,2025-03-15,Kechikkan,O'rtacha,Yolg'iz,Fermer,3660481,824,11,O'rtacha,Andijon,Asaka,302451,4,236,42183,0.861
49,537,Buxoro,Buxoro viloyati - G‘ijduvon,23a70190-a025-4ab5-a87e-6a160cec7523,Jessica Austin,ayol,58,Fermerlik,351500839,13.63,12,2021-11-23,Jarayonda,Yuqori,Turmush qurgan,O'qituvchi,32651006,813,1,Yuqori,Qashqadaryo,Qamashi,34978,1,71,5168,0.852
50,100,Qashqadaryo,Xorazm viloyati - Urganch,7ef5a895-54f9-4451-b775-353c2884a260,John Thomas,ayol,52,Fermerlik,77539528,14.15,36,2021-06-18,Kechikkan,Past,Turmush qurgan,Ishchi,86432310,843,11,Past,Xorazm,Yangibozor,315273,4,232,3499,0.989
51,728,Qashqadaryo,Qashqadaryo viloyati - Shahrisabz,fffe8f7f-24e4-4648-bf6a-8e28c69f5157,Natalie Davis,erkak,32,Avtokredit,45179634,20.7,60,2021-09-16,Jarayonda,Yuqori,Yolg'iz,Boshqaruvchi,246481,683,14,Yuqori,Buxoro,Kogon,49512,1,236,4431,0.911
52,680,Xorazm,Toshkent shahri,880f79db-b837-4810-9bf4-481b8ea87a62,Shannon Lutz,erkak,57,Biznes,224394488,14.14,72,2021-10-01,Jarayonda,Past,Turmush qurgan,Boshqaruvchi,10428178,757,15,O'rtacha,Samarqand,Samarqand,79667,2,126,9757,0.878
53,202,Jizzax,Farg‘ona viloyati - Qo‘qon,de6da58f-3f09-45af-8903-3f6d549496a7,Tony Nguyen,ayol,56,Biznes,449744294,16.38,12,2022-09-23,Jarayonda,O'rtacha,Turmush qurgan,O'qituvchi,66629582,508,11,Past,Jizzax,Do‘stlik,92508,1,249,6524,0.929
54,438,Farg‘ona,Samarqand viloyati - Samarqand,9a5231d1-4edc-4c01-a301-0cf6f17eea01,Christopher Li,ayol,21,Biznes,101864763,18.39,48,2020-12-09,Jarayonda,O'rtacha,Turmush qurgan,O'qituvchi,84057922,792,9,Yuqori,Jizzax,G‘allaorol,17080,0,240,1129,0.934
55,558,Andijon,Sirdaryo viloyati - Shirin,7020f748-9bc0-4359-8127-30760c4504aa,Nicole Mitchell,erkak,38,Avtokredit,231111963,16.57,60,2024-04-12,Jarayonda,Past,Yolg'iz,Tadbirkor,90339041,605,13,O'rtacha,Xorazm,Yangibozor,315273,3,232,3499,0.989
56,774,Namangan,Toshkent viloyati - Bekobod,b4702940-ecfe-4594-8ad3-706512263f97,Brandy Ross,erkak,25,Ta'lim,61948992,22.63,72,2023-07-08,Kechikkan,Past,Turmush qurgan,O'qituvchi,67634206,381,10,Yuqori,Toshkent viloyati,Angren,132850,1,110,12454,0.906
57,432,Xorazm,Qashqadaryo viloyati - Yakkabog‘,b88d843c-3a5b-4d14-b4f9-d1f791e371f7,Heidi Russell,ayol,60,Avtokredit,226420132,17.62,60,2024-12-15,Kechikkan,Yuqori,Turmush qurgan,Boshqaruvchi,94230874,560,10,O'rtacha,Toshkent shahri,Uchtepa,599036,6,85,57472,0.904
58,557,Namangan,Toshkent viloyati - Chirchiq,8615353b-7934-4532-95ad-b3937448a772,Kevin Henderson MD,ayol,19,Avtokredit,137512108,19.22,36,2025-02-24,Jarayonda,Yuqori,Yolg'iz,Fermer,19732383,425,5,O'rtacha,Xorazm,Yangibozor,315273,3,232,3499,0.989
59,849,Buxoro,Xorazm viloyati - Urganch,fd590dd5-a7ed-413e-98ed-23533e09d646,Devin Franklin,ayol,69,Ipoteka,367966927,14.98,36,2021-07-04,Kechikkan,O'rtacha,Turmush qurgan,Talaba,21752764,628,14,Past,Surxondaryo,Denov,128469,1,219,5813,0.955
60,194,Qoraqalpog‘iston,Toshkent viloyati - Chirchiq,86cec1b7-ec21-48f7-9a16-4552bdabf194,Lee Davis,erkak,57,Avtokredit,66943663,10.77,12,2024-11-21,Jarayonda,Past,Turmush qurgan,Talaba,60582204,306,7,Yuqori,Fargʻona,Farg‘ona,152849,3,234,5735,0.962
61,367,Qoraqalpog‘iston,Sirdaryo viloyati - Sirdaryo,344ec65a-aae4-49c5-be52-dc079f6d9e74,Taylor Simpson,erkak,56,Fermerlik,198625008,13.06,36,2021-10-27,To'langan,Yuqori,Turmush qurgan,Boshqaruvchi,18997361,623,3,O'rtacha,Namangan,Namangan,54601,1,222,2839,0.948
62,242,Buxoro,Qoraqalpog‘iston - Nukus,5232a248-42e0-401f-a186-507c80d6e583,Brandon Hamilton,erkak,38,Ta'lim,247865776,16.21,48,2025-01-08,Jarayonda,Yuqori,Turmush qurgan,Boshqaruvchi,21171681,781,2,Yuqori,Buxoro,G‘ijduvon,62601,2,233,6501,0.896
63,362,Toshkent,Xorazm viloyati - Yangibozor,54bb94ab-23bd-47f4-a8c2-a0842d3c15aa,Blake Sheppard,erkak,41,Ta'lim,463243238,21.55,24,2021-08-26,Jarayonda,Yuqori,Turmush qurgan,Ishchi,3826449,718,12,Yuqori,Navoiy,Navoiy,40472,1,231,4876,0.88
64,149,Namangan,Andijon viloyati - Asaka,2e272837-2349-4867-91e7-7a896f376bca,Cynthia Rogers,erkak,69,Avtokredit,470610932,19.86,60,2024-08-17,Kechikkan,Past,Yolg'iz,Fermer,80631873,344,14,O'rtacha,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,1,241,14462,0.903
65,715,Navoiy,Andijon viloyati - Andijon,e0518028-2b4f-42e8-b500-867ee32aec61,Jessica Winters,ayol,41,Fermerlik,478347714,19.96,72,2022-03-23,Jarayonda,Past,Yolg'iz,Talaba,92956976,389,7,Yuqori,Fargʻona,Marg‘ilon,251803,3,266,15042,0.94
66,716,Andijon,Qashqadaryo viloyati - Beshkent,33cdb89f-f707-4757-beab-d510a9d57360,Tina Pham,erkak,31,Ta'lim,145654218,16.82,36,2024-08-07,To'langan,O'rtacha,Turmush qurgan,Ishchi,67574546,804,14,Yuqori,Sirdaryo,Sirdaryo,115267,1,238,4878,0.958
67,958,Buxoro,Toshkent viloyati - Angren,ecdb7d09-5d34-4f3a-9613-9eeacc6c1a6a,Mark Smith,ayol,45,Avtokredit,99145707,17.6,72,2021-12-19,To'langan,O'rtacha,Yolg'iz,Talaba,4094347,336,1,O'rtacha,Buxoro,Kogon,49512,1,236,4431,0.911
68,763,Navoiy,Toshkent shahri,a7f380c7-7908-4eb4-be49-5e8a1d4591c3,Stephanie Howard,ayol,31,Biznes,41758662,13.7,36,2025-02-15,To'langan,Past,Yolg'iz,Tadbirkor,37356021,777,10,O'rtacha,Fargʻona,Farg‘ona,152849,2,234,5735,0.962
69,632,Jizzax,Samarqand viloyati - Nurobod,f90b9d92-7b09-4383-9723-db9b4e85a0c4,Luke Martin,ayol,57,Fermerlik,472642457,18.96,36,2022-10-26,Kechikkan,Past,Turmush qurgan,Boshqaruvchi,26875802,789,3,O'rtacha,Fargʻona,Farg‘ona,152849,3,234,5735,0.962
70,640,Qoraqalpog‘iston,Qashqadaryo viloyati - Shahrisabz,242aef30-a7a9-4408-b11b-21cd09b93cb0,Jennifer Sims,erkak,69,Avtokredit,156136801,11.56,36,2025-04-29,Jarayonda,Past,Turmush qurgan,Ishchi,35133030,322,13,Past,Namangan,Chortoq,210264,3,236,9822,0.953
71,403,Navoiy,Qashqadaryo viloyati - Koson,5ada5b35-e15e-457e-8007-68d97ccd3280,Kenneth Boyle,erkak,33,Avtokredit,217855353,17.51,36,2020-12-12,Jarayonda,Past,Turmush qurgan,Fermer,95252608,512,14,Yuqori,Andijon,Asaka,302451,4,236,42183,0.861
72,266,Xorazm,Jizzax viloyati - Jizzax,5eb751a4-aec3-400a-8705-4e59ccc2df79,Jeanne Sharp,ayol,22,Biznes,454314337,24.54,36,2022-11-20,Kechikkan,Past,Turmush qurgan,Tadbirkor,52439377,319,4,Past,Xorazm,Urganch,236963,2,257,4614,0.981
73,197,Jizzax,Samarqand viloyati - Nurobod,f63e04f9-c970-4c42-9c6d-e3fc81b24dbf,Isaac Goodman,erkak,29,Avtokredit,132830743,19.92,12,2021-07-22,Jarayonda,Past,Turmush qurgan,Talaba,67458976,636,13,Past,Sirdaryo,Sirdaryo,115267,2,238,4878,0.958
74,530,Andijon,Samarqand viloyati - Samarqand,7911c328-4ac1-40da-a319-f5a8c12937c7,Mr. Matthew Lowe IV,erkak,24,Ta'lim,387972666,14.2,60,2024-03-17,Kechikkan,Yuqori,Turmush qurgan,Tadbirkor,19368851,833,8,Past,Jizzax,Do‘stlik,92508,2,249,6524,0.929
75,265,Samarqand,Buxoro viloyati - Kogon,c3f0d26c-ebc7-4894-a521-56620ed19553,Jessica Hughes,erkak,61,Biznes,377085968,15.17,48,2022-06-16,Kechikkan,Yuqori,Yolg'iz,Talaba,63068372,621,14,Yuqori,Toshkent shahri,Yunusobod,461734,6,95,28107,0.939
76,912,Sirdaryo,Qoraqalpog‘iston - Chimboy,06383558-3801-4496-8b4d-4da123c05e20,Jeremy Meza,ayol,58,Biznes,347032789,15.62,36,2025-08-12,To'langan,Yuqori,Yolg'iz,Talaba,7283269,755,3,O'rtacha,Navoiy,Zarafshon,20067,1,227,666,0.967
77,614,Toshkent,Xorazm viloyati - Urganch,19085162-a186-4a11-9f8d-11944a15c909,Ellen Kim,ayol,62,Ipoteka,447571029,11.66,36,2022-05-17,To'langan,Past,Yolg'iz,Tadbirkor,41890099,671,5,O'rtacha,Andijon,Shahrixon,337056,3,228,20126,0.94
78,206,Jizzax,Qoraqalpog‘iston - Nukus,b8dc2a47-3a75-43b9-b68c-c976882fa85e,Jacqueline Jones,erkak,41,Ipoteka,415516469,13.27,12,2024-10-21,To'langan,Past,Yolg'iz,Talaba,18347015,705,4,Yuqori,Samarqand,Toyloq,287007,4,108,31724,0.889
79,268,Toshkent,Sirdaryo viloyati - Sirdaryo,b71a9767-4941-4834-ba29-8ff6db3a4448,Dr. Roy Cruz,ayol,35,Ipoteka,56117600,10.3,24,2025-04-28,Kechikkan,Past,Turmush qurgan,O'qituvchi,80506030,330,3,O'rtacha,Qashqadaryo,Qarshi,4115,1,64,91,0.978
80,237,Toshkent,Sirdaryo viloyati - Shirin,b1018d40-2ee8-41cb-a14b-029eb2675550,Jonathan Robertson,erkak,37,Avtokredit,474084863,20.78,36,2024-12-03,Jarayonda,Past,Yolg'iz,Ishchi,5516307,347,1,O'rtacha,Fargʻona,Qo‘qon,283539,4,211,26120,0.908
81,731,Buxoro,Qashqadaryo viloyati - Kitob,1fc713d3-ab8e-468b-a407-edb2755e9492,Nathaniel Williams,erkak,28,Ipoteka,64626607,13.76,12,2021-05-25,Kechikkan,Yuqori,Yolg'iz,Boshqaruvchi,18583975,807,2,Yuqori,Namangan,Chortoq,210264,3,236,9822,0.953
82,735,Jizzax,Andijon viloyati - Andijon,0e8fbc65-7645-4b76-961f-eab179225894,Michelle Kim,ayol,22,Biznes,390203290,16.9,12,2024-01-18,Jarayonda,Past,Turmush qurgan,Boshqaruvchi,39325593,850,15,Past,Surxondaryo,Termiz,162099,3,237,12944,0.92
83,981,Jizzax,Jizzax viloyati - Do‘stlik,6a45c0c7-dde4-45df-a3dd-02aee6e6b2c0,Roberto Woods,ayol,68,Biznes,19970362,20.39,12,2022-01-14,Jarayonda,Yuqori,Turmush qurgan,O'qituvchi,18097508,780,14,Yuqori,Toshkent shahri,Mirobod,356475,5,104,9667,0.973
