,Region,Customer_ID,Customer_Name,Gender,Age,Credit_Type,Credit_Amount,Interest_Rate,Loan_Term_Months,Start_Date,Payment_Status,Occupation,Account_Balance,region,district,district_population,branch_count,clients_in_district_rows,active_clients_district
11,Buxoro viloyati - G‘ijduvon,936ea98d-7dce-4e60-989c-71c4845dfb9a,Samuel Contreras,erkak,24,Ta'lim,259278231,21.0,72,2022-09-18,Jarayonda,Tadbirkor,77973047,Buxoro,G‘ijduvon,62601,2,233,6501
12,Farg‘ona viloyati - Farg‘ona,ebc04235-d760-4d4d-b821-452ef08532bc,Rebecca Potter,ayol,19,Ta'lim,226329002,19.33,24,2024-10-21,To'langan,Talaba,57023929,Samarqand,Oqdaryo,212559,2,113,26189
13,Qoraqalpog‘iston - Taxiatosh,3d07080c-a53d-4eda-a3ba-fed4ffab0be2,Kelly Lee,erkak,23,Biznes,254550524,16.51,24,2024-01-26,Kechikkan,Talaba,46846971,Samarqand,Oqdaryo,212559,3,113,26189
14,Surxondaryo viloyati - Sherobod,34f03dd2-5a0c-4f9f-b1c8-149ad7c5d9de,Jeffrey Wilson,ayol,54,Ta'lim,216800014,12.4,60,2023-02-27,Kechikkan,Talaba,11641784,Buxoro,Buxoro,1000,0,218,59
15,Surxondaryo viloyati - Sherobod,57dc38ac-d69f-4b46-85ec-f4112901fb43,Christopher Davis,ayol,45,Avtokredit,41727954,21.01,24,2020-10-27,To'langan,O'qituvchi,60717949,Buxoro,G‘ijduvon,62601,2,233,6501
16,Namangan viloyati - Pop,c46589dc-e882-43fe-9df4-25ced62504bc,Nicholas Richard,ayol,43,Fermerlik,291364961,24.15,72,2025-08-03,Jarayonda,Fermer,57913030,Namangan,Pop,440092,4,239,25049
17,Qoraqalpog‘iston - Chimboy,1c8fa308-90cf-4b8d-8faa-7b650d219ff0,Crystal Greer,ayol,52,Ipoteka,385380614,16.66,24,2024-03-07,Jarayonda,Talaba,74273171,Namangan,Chortoq,210264,3,236,9822
18,Sirdaryo viloyati - Sirdaryo,c25dbd67-87aa-4f46-ae4a-1508ec4ed7a3,Stephanie Floyd,ayol,46,Biznes,258630424,20.44,48,2023-07-01,Jarayonda,Tadbirkor,97194210,Buxoro,G‘ijduvon,62601,1,233,6501
19,Farg‘ona viloyati - Marg‘ilon,a0d106fc-1c7d-47bd-9755-6716a465580a,Michael Fernandez,ayol,64,Biznes,467537411,16.87,72,2021-01-08,Kechikkan,Tadbirkor,23059343,Sirdaryo,Shirin,77686,2,255,9183
20,Toshkent viloyati - Chirchiq,1cb033c3-2eab-4c69-a345-4befef6bfc49,Stephanie Wood,ayol,57,Biznes,302102339,15.28,60,2022-04-10,Jarayonda,Tadbirkor,23692668,Andijon,Shahrixon,337056,4,228,20126
21,Jizzax viloyati - G‘allaorol,89aa1c0f-3988-408b-a436-6618c6531d8c,Monica Marsh,erkak,52,Ipoteka,104331507,24.56,72,2024-05-26,To'langan,Talaba,54453159,Samarqand,Nurobod,41107,1,127,1459
22,Andijon viloyati - Shahrixon,1c8b6e2f-0da1-4da1-8aa9-520c61343944,Kyle Lee,ayol,43,Fermerlik,466448467,11.72,48,2022-02-12,To'langan,Ishchi,36025647,Jizzax,G‘allaorol,17080,1,240,1129
23,Toshkent viloyati - Chirchiq,73767d5f-b9e8-4e42-9062-e757915d1903,Tracy Garcia,ayol,39,Ta'lim,106377003,20.92,48,2024-12-13,Kechikkan,O'qituvchi,18298072,Xorazm,Xiva,26077,0,243,1762
24,Xorazm viloyati - Xiva,6a0f9ed1-469b-41d0-8842-94f344fd9b1f,Robert Price,erkak,56,Ipoteka,235366761,24.42,72,2021-10-25,Kechikkan,Boshqaruvchi,70432042,Fargʻona,Qo‘qon,283539,3,211,26120
25,Xorazm viloyati - Yangibozor,f31b9bab-3f24-4b6c-8e62-446bdce095a7,Michele Graham,erkak,39,Avtokredit,261063931,10.37,12,2025-02-09,Kechikkan,Talaba,87446073,Surxondaryo,Denov,128469,2,219,5813
26,Farg‘ona viloyati - Qo‘qon,04869ee5-690a-4a67-8103-96fac857c9cf,James Aguilar,erkak,58,Ta'lim,453470387,24.92,60,2024-01-07,Jarayonda,Boshqaruvchi,71594608,Qoraqalpogʻiston Respublikasi,Nukus,550856,7,230,52910
27,Samarqand viloyati - Nurobod,59d7e06e-4dc6-4ec9-a1a3-0706848f44aa,Robert Molina,erkak,19,Avtokredit,194506396,15.59,36,2022-06-17,To'langan,O'qituvchi,45402107,Jizzax,Jizzax,78543,1,235,3949
28,Farg‘ona viloyati - Farg‘ona,f0d9fc46-3993-45ad-bc69-bdf7d48b9c48,Barry Miranda,ayol,43,Biznes,200501489,12.77,24,2023-08-31,To'langan,Fermer,16052086,Surxondaryo,Denov,128469,1,219,5813
29,Surxondaryo viloyati - Sherobod,8d54b1de-09db-4009-97b8-e03c77264e56,Susan Ochoa,erkak,53,Ipoteka,440288990,15.02,60,2024-08-12,Jarayonda,Talaba,71149403,Fargʻona,Marg‘ilon,251803,4,266,15042
30,Qoraqalpog‘iston - Nukus,efc6a46c-863e-4310-a30a-6c3d1a426113,David Hayes,ayol,21,Ta'lim,42799400,17.04,72,2021-01-05,Jarayonda,Talaba,76358087,Qashqadaryo,Kitob,16310,0,77,1493
31,Qashqadaryo viloyati - Shahrisabz,34e0b460-1566-488b-a061-7fa3ef673a57,Jose Guerra,ayol,31,Biznes,289238953,14.21,24,2021-07-04,Kechikkan,Boshqaruvchi,31667519,Toshkent shahri,Sergeli,193458,3,98,4762
32,Surxondaryo viloyati - Denov,0b86872e-2f2c-4dff-b490-a91a0f77f274,Jennifer Thomas,erkak,26,Ipoteka,332294248,17.68,12,2022-08-30,To'langan,Ishchi,91360516,Fargʻona,Farg‘ona,152849,2,234,5735
33,Surxondaryo viloyati - Termiz,b4f5fb88-4b22-41cc-b15a-b68b1963d1bf,James Hunter,ayol,43,Avtokredit,434939733,19.21,60,2021-07-03,To'langan,Ishchi,23779788,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,1,241,14462
34,Surxondaryo viloyati - Sherobod,34fa3efd-bba3-47fb-b0f0-f70b1e2df813,Danielle Holt,ayol,60,Ipoteka,265107617,24.45,48,2023-09-13,Kechikkan,Tadbirkor,15267349,Qashqadaryo,Mirishkor,20029,1,59,673
35,Surxondaryo viloyati - Termiz,d1e5462d-26b4-488c-8c24-0815668253d3,Theresa Grant,erkak,18,Ta'lim,118937993,22.5,12,2022-06-23,Jarayonda,Fermer,20784182,Qashqadaryo,Koson,6646,0,81,876
36,Jizzax viloyati - Jizzax,215b5621-ad84-4357-9319-c0280b39e0fa,Alejandro Gray,ayol,18,Biznes,8078485,14.79,48,2023-11-30,Kechikkan,Boshqaruvchi,42028197,Toshkent shahri,Chilonzor,269202,4,87,31888
37,Samarqand viloyati - Nurobod,58ba2ca6-6521-4201-b33d-a04f0df17478,Jerry Parker,erkak,36,Biznes,235892287,22.93,36,2021-02-26,Kechikkan,Talaba,77074626,Navoiy,Zarafshon,20067,1,227,666
38,Qashqadaryo viloyati - Yakkabog‘,2e16bc6c-c5a5-447f-af11-6b63f719e221,Michelle Hubbard,ayol,39,Biznes,168190359,24.95,60,2020-12-10,To'langan,O'qituvchi,61135462,Toshkent viloyati,Bekobod,360270,4,102,12267
39,Buxoro viloyati - Kogon,661ab2e9-fc9e-49b2-b81a-d08c9881c85d,Mr. Benjamin Johnson,ayol,58,Fermerlik,308473876,11.99,60,2023-11-25,To'langan,Talaba,53300555,Jizzax,Do‘stlik,92508,1,249,6524
40,Buxoro viloyati - Kogon,d0f3e481-9e89-4a04-9bef-7a83e45c00e9,Patricia Ferrell,ayol,60,Biznes,347765073,15.54,12,2023-07-08,To'langan,O'qituvchi,21238804,Andijon,Asaka,302451,4,236,42183
41,Samarqand viloyati - Nurobod,fed546a0-e1cb-491f-8225-9d7bb9f5a86e,Aaron Hull,erkak,22,Avtokredit,341965528,15.8,60,2022-11-09,Jarayonda,O'qituvchi,93299137,Sirdaryo,Guliston,55176,1,235,4862
42,Buxoro viloyati - Buxoro,d76253a4-9146-48c3-b336-8e583bdaedb8,Brenda Sanchez,ayol,51,Ta'lim,110843892,22.41,36,2023-04-24,To'langan,Fermer,71404320,Surxondaryo,Sherobod,218888,2,257,13143
43,Samarqand viloyati - Nurobod,9f514be8-5b4f-4c01-af9b-f16c126e6f73,Richard Martinez,ayol,20,Ta'lim,192750829,13.95,48,2021-06-20,To'langan,Ishchi,62262005,Fargʻona,Marg‘ilon,251803,4,266,15042
44,Qashqadaryo viloyati - Beshkent,a612adb4-f146-41ae-855a-46f917a986a1,Austin Taylor,ayol,55,Avtokredit,51029222,21.93,48,2024-02-23,To'langan,O'qituvchi,65447600,Toshkent shahri,Mirzo Ulug‘bek,2171,0,101,261
45,Sirdaryo viloyati - Shirin,636ecc3d-c970-42a4-a7ad-ee81c072e99d,Rhonda Perez,ayol,53,Avtokredit,19082758,19.39,12,2021-07-27,Jarayonda,O'qituvchi,94255787,Jizzax,G‘allaorol,17080,1,240,1129
46,Navoiy viloyati - Navoiy,4e1fd748-48b8-475f-bd1c-8196f417c8b7,Shane Olson,ayol,39,Fermerlik,316248865,24.78,60,2024-12-11,To'langan,Tadbirkor,16748405,Toshkent viloyati,Yangiyo‘l,9906,1,127,324
47,Toshkent viloyati - Bekobod,769976d2-a010-4a6f-997e-fcd719e2b821,Holly Morris,ayol,25,Biznes,325163292,18.0,36,2023-08-29,Jarayonda,Boshqaruvchi,90899156,Toshkent viloyati,Chirchiq,373498,4,131,24067
48,Toshkent shahri,68802c99-b9b4-4c8e-8ad0-6de4d3a4203c,Christopher Lowe,erkak,39,Avtokredit,466285481,20.24,24,2025-03-15,Kechikkan,Fermer,3660481,Andijon,Asaka,302451,4,236,42183
49,Buxoro viloyati - G‘ijduvon,23a70190-a025-4ab5-a87e-6a160cec7523,Jessica Austin,ayol,58,Fermerlik,351500839,13.63,12,2021-11-23,Jarayonda,O'qituvchi,32651006,Qashqadaryo,Qamashi,34978,1,71,5168
50,Xorazm viloyati - Urganch,7ef5a895-54f9-4451-b775-353c2884a260,John Thomas,ayol,52,Fermerlik,77539528,14.15,36,2021-06-18,Kechikkan,Ishchi,86432310,Xorazm,Yangibozor,315273,4,232,3499
51,Qashqadaryo viloyati - Shahrisabz,fffe8f7f-24e4-4648-bf6a-8e28c69f5157,Natalie Davis,erkak,32,Avtokredit,45179634,20.7,60,2021-09-16,Jarayonda,Boshqaruvchi,246481,Buxoro,Kogon,49512,1,236,4431
52,Toshkent shahri,880f79db-b837-4810-9bf4-481b8ea87a62,Shannon Lutz,erkak,57,Biznes,224394488,14.14,72,2021-10-01,Jarayonda,Boshqaruvchi,10428178,Samarqand,Samarqand,79667,2,126,9757
53,Farg‘ona viloyati - Qo‘qon,de6da58f-3f09-45af-8903-3f6d549496a7,Tony Nguyen,ayol,56,Biznes,449744294,16.38,12,2022-09-23,Jarayonda,O'qituvchi,66629582,Jizzax,Do‘stlik,92508,1,249,6524
54,Samarqand viloyati - Samarqand,9a5231d1-4edc-4c01-a301-0cf6f17eea01,Christopher Li,ayol,21,Biznes,101864763,18.39,48,2020-12-09,Jarayonda,O'qituvchi,84057922,Jizzax,G‘allaorol,17080,0,240,1129
55,Sirdaryo viloyati - Shirin,7020f748-9bc0-4359-8127-30760c4504aa,Nicole Mitchell,erkak,38,Avtokredit,231111963,16.57,60,2024-04-12,Jarayonda,Tadbirkor,90339041,Xorazm,Yangibozor,315273,3,232,3499
56,Toshkent viloyati - Bekobod,b4702940-ecfe-4594-8ad3-706512263f97,Brandy Ross,erkak,25,Ta'lim,61948992,22.63,72,2023-07-08,Kechikkan,O'qituvchi,67634206,Toshkent viloyati,Angren,132850,1,110,12454
57,Qashqadaryo viloyati - Yakkabog‘,b88d843c-3a5b-4d14-b4f9-d1f791e371f7,Heidi Russell,ayol,60,Avtokredit,226420132,17.62,60,2024-12-15,Kechikkan,Boshqaruvchi,94230874,Toshkent shahri,Uchtepa,599036,6,85,57472
58,Toshkent viloyati - Chirchiq,8615353b-7934-4532-95ad-b3937448a772,Kevin Henderson MD,ayol,19,Avtokredit,137512108,19.22,36,2025-02-24,Jarayonda,Fermer,19732383,Xorazm,Yangibozor,315273,3,232,3499
59,Xorazm viloyati - Urganch,fd590dd5-a7ed-413e-98ed-23533e09d646,Devin Franklin,ayol,69,Ipoteka,367966927,14.98,36,2021-07-04,Kechikkan,Talaba,21752764,Surxondaryo,Denov,128469,1,219,5813
60,Toshkent viloyati - Chirchiq,86cec1b7-ec21-48f7-9a16-4552bdabf194,Lee Davis,erkak,57,Avtokredit,66943663,10.77,12,2024-11-21,Jarayonda,Talaba,60582204,Fargʻona,Farg‘ona,152849,3,234,5735
61,Sirdaryo viloyati - Sirdaryo,344ec65a-aae4-49c5-be52-dc079f6d9e74,Taylor Simpson,erkak,56,Fermerlik,198625008,13.06,36,2021-10-27,To'langan,Boshqaruvchi,18997361,Namangan,Namangan,54601,1,222,2839
62,Qoraqalpog‘iston - Nukus,5232a248-42e0-401f-a186-507c80d6e583,Brandon Hamilton,erkak,38,Ta'lim,247865776,16.21,48,2025-01-08,Jarayonda,Boshqaruvchi,21171681,Buxoro,G‘ijduvon,62601,2,233,6501
63,Xorazm viloyati - Yangibozor,54bb94ab-23bd-47f4-a8c2-a0842d3c15aa,Blake Sheppard,erkak,41,Ta'lim,463243238,21.55,24,2021-08-26,Jarayonda,Ishchi,3826449,Navoiy,Navoiy,40472,1,231,4876
64,Andijon viloyati - Asaka,2e272837-2349-4867-91e7-7a896f376bca,Cynthia Rogers,erkak,69,Avtokredit,470610932,19.86,60,2024-08-17,Kechikkan,Fermer,80631873,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,1,241,14462
65,Andijon viloyati - Andijon,e0518028-2b4f-42e8-b500-867ee32aec61,Jessica Winters,ayol,41,Fermerlik,478347714,19.96,72,2022-03-23,Jarayonda,Talaba,92956976,Fargʻona,Marg‘ilon,251803,3,266,15042
66,Qashqadaryo viloyati - Beshkent,33cdb89f-f707-4757-beab-d510a9d57360,Tina Pham,erkak,31,Ta'lim,145654218,16.82,36,2024-08-07,To'langan,Ishchi,67574546,Sirdaryo,Sirdaryo,115267,1,238,4878
67,Toshkent viloyati - Angren,ecdb7d09-5d34-4f3a-9613-9eeacc6c1a6a,Mark Smith,ayol,45,Avtokredit,99145707,17.6,72,2021-12-19,To'langan,Talaba,4094347,Buxoro,Kogon,49512,1,236,4431
68,Toshkent shahri,a7f380c7-7908-4eb4-be49-5e8a1d4591c3,Stephanie Howard,ayol,31,Biznes,41758662,13.7,36,2025-02-15,To'langan,Tadbirkor,37356021,Fargʻona,Farg‘ona,152849,2,234,5735
69,Samarqand viloyati - Nurobod,f90b9d92-7b09-4383-9723-db9b4e85a0c4,Luke Martin,ayol,57,Fermerlik,472642457,18.96,36,2022-10-26,Kechikkan,Boshqaruvchi,26875802,Fargʻona,Farg‘ona,152849,3,234,5735
70,Qashqadaryo viloyati - Shahrisabz,242aef30-a7a9-4408-b11b-21cd09b93cb0,Jennifer Sims,erkak,69,Avtokredit,156136801,11.56,36,2025-04-29,Jarayonda,Ishchi,35133030,Namangan,Chortoq,210264,3,236,9822
71,Qashqadaryo viloyati - Koson,5ada5b35-e15e-457e-8007-68d97ccd3280,Kenneth Boyle,erkak,33,Avtokredit,217855353,17.51,36,2020-12-12,Jarayonda,Fermer,95252608,Andijon,Asaka,302451,4,236,42183
72,Jizzax viloyati - Jizzax,5eb751a4-aec3-400a-8705-4e59ccc2df79,Jeanne Sharp,ayol,22,Biznes,454314337,24.54,36,2022-11-20,Kechikkan,Tadbirkor,52439377,Xorazm,Urganch,236963,2,257,4614
73,Samarqand viloyati - Nurobod,f63e04f9-c970-4c42-9c6d-e3fc81b24dbf,Isaac Goodman,erkak,29,Avtokredit,132830743,19.92,12,2021-07-22,Jarayonda,Talaba,67458976,Sirdaryo,Sirdaryo,115267,2,238,4878
74,Samarqand viloyati - Samarqand,7911c328-4ac1-40da-a319-f5a8c12937c7,Mr. Matthew Lowe IV,erkak,24,Ta'lim,387972666,14.2,60,2024-03-17,Kechikkan,Tadbirkor,19368851,Jizzax,Do‘stlik,92508,2,249,6524
75,Buxoro viloyati - Kogon,c3f0d26c-ebc7-4894-a521-56620ed19553,Jessica Hughes,erkak,61,Biznes,377085968,15.17,48,2022-06-16,Kechikkan,Talaba,63068372,Toshkent shahri,Yunusobod,461734,6,95,28107
76,Qoraqalpog‘iston - Chimboy,06383558-3801-4496-8b4d-4da123c05e20,Jeremy Meza,ayol,58,Biznes,347032789,15.62,36,2025-08-12,To'langan,Talaba,7283269,Navoiy,Zarafshon,20067,1,227,666
77,Xorazm viloyati - Urganch,19085162-a186-4a11-9f8d-11944a15c909,Ellen Kim,ayol,62,Ipoteka,447571029,11.66,36,2022-05-17,To'langan,Tadbirkor,41890099,Andijon,Shahrixon,337056,3,228,20126
78,Qoraqalpog‘iston - Nukus,b8dc2a47-3a75-43b9-b68c-c976882fa85e,Jacqueline Jones,erkak,41,Ipoteka,415516469,13.27,12,2024-10-21,To'langan,Talaba,18347015,Samarqand,Toyloq,287007,4,108,31724
79,Sirdaryo viloyati - Sirdaryo,b71a9767-4941-4834-ba29-8ff6db3a4448,Dr. Roy Cruz,ayol,35,Ipoteka,56117600,10.3,24,2025-04-28,Kechikkan,O'qituvchi,80506030,Qashqadaryo,Qarshi,4115,1,64,91
80,Sirdaryo viloyati - Shirin,b1018d40-2ee8-41cb-a14b-029eb2675550,Jonathan Robertson,erkak,37,Avtokredit,474084863,20.78,36,2024-12-03,Jarayonda,Ishchi,5516307,Fargʻona,Qo‘qon,283539,4,211,26120
81,Qashqadaryo viloyati - Kitob,1fc713d3-ab8e-468b-a407-edb2755e9492,Nathaniel Williams,erkak,28,Ipoteka,64626607,13.76,12,2021-05-25,Kechikkan,Boshqaruvchi,18583975,Namangan,Chortoq,210264,3,236,9822
82,Andijon viloyati - Andijon,0e8fbc65-7645-4b76-961f-eab179225894,Michelle Kim,ayol,22,Biznes,390203290,16.9,12,2024-01-18,Jarayonda,Boshqaruvchi,39325593,Surxondaryo,Termiz,162099,3,237,12944
83,Jizzax viloyati - Do‘stlik,6a45c0c7-dde4-45df-a3dd-02aee6e6b2c0,Roberto Woods,ayol,68,Biznes,19970362,20.39,12,2022-01-14,Jarayonda,O'qituvchi,18097508,Toshkent shahri,Mirobod,356475,5,104,9667
84,Xorazm viloyati - Urganch,3ff2a3b9-8edf-4d55-a4c0-95579d20e0cd,Jason Smith,erkak,47,Ipoteka,256276114,20.22,72,2024-01-21,To'langan,Ishchi,59959695,Toshkent shahri,Mirobod,356475,4,104,9667
85,Qoraqalpog‘iston - Taxiatosh,4b92ea12-6fbb-4a55-962d-99b6d951458e,Kevin White,erkak,22,Ipoteka,310906464,11.21,48,2021-11-12,Kechikkan,Ishchi,64296960,Jizzax,Jizzax,78543,1,235,3949
86,Sirdaryo viloyati - Sirdaryo,04dfbacf-9fb3-449f-bb9b-e540687c14b9,Kristen Roberts,erkak,57,Avtokredit,92026237,14.34,24,2025-03-24,To'langan,Ishchi,85173871,Navoiy,Navoiy,40472,1,231,4876
87,Farg‘ona viloyati - Marg‘ilon,bf7a1fe6-0e60-48b3-98da-c7ab44dc6073,Michael Hall,ayol,50,Fermerlik,247683995,13.37,60,2022-12-07,Kechikkan,Boshqaruvchi,48554594,Sirdaryo,Sirdaryo,115267,1,238,4878
88,Qoraqalpog‘iston - Nukus,96096398-ce23-411b-af66-f22cd556d480,Mary Mckay,erkak,25,Ta'lim,268393939,24.59,12,2021-11-10,Jarayonda,Boshqaruvchi,99125435,Sirdaryo,Shirin,77686,1,255,9183
89,Qoraqalpog‘iston - Chimboy,a3f5d162-0936-4209-828b-6cb970041dcb,Patrick Shah,ayol,20,Ipoteka,222359770,18.4,60,2023-08-29,Kechikkan,Tadbirkor,67813873,Fargʻona,Marg‘ilon,251803,3,266,15042
90,Samarqand viloyati - Kattaqo‘rg‘on,ac93e59a-5c20-4721-83c2-b071f4d09126,Gabrielle Miller,erkak,51,Avtokredit,418496076,15.08,48,2024-06-20,Jarayonda,Ishchi,74278915,Jizzax,G‘allaorol,17080,1,240,1129
91,Buxoro viloyati - Kogon,b2776d96-48db-4ea7-9df5-8166013d6291,Christopher Peterson,ayol,24,Avtokredit,359478931,22.94,60,2024-12-06,To'langan,Boshqaruvchi,52414351,Toshkent shahri,Chilonzor,269202,3,87,31888
92,Qoraqalpog‘iston - Taxiatosh,fb1674b2-5f5a-4eef-9950-873cf165bdcb,Nancy Reeves,ayol,52,Avtokredit,340161001,20.4,48,2024-01-24,To'langan,Fermer,75194240,Surxondaryo,Sherobod,218888,2,257,13143
93,Farg‘ona viloyati - Qo‘qon,8ac8bea4-4a8f-40dd-ba5e-4c3a2ba2c2ff,Thomas Li,ayol,51,Biznes,319605178,14.67,72,2024-06-12,To'langan,Boshqaruvchi,72585821,Samarqand,Pastdarg‘om,105713,1,132,15720
94,Navoiy viloyati - Qiziltepa,3dbf0888-01b3-4775-a6cb-f16d0802e7b8,Donna Fuller,erkak,45,Biznes,367663956,21.18,12,2021-09-28,To'langan,Talaba,88105888,Xorazm,Xiva,26077,1,243,1762
95,Sirdaryo viloyati - Sirdaryo,783ccffd-6ada-45d4-bc4e-b96f9775a76c,Linda Hansen,erkak,54,Biznes,5540149,23.74,48,2022-01-09,Kechikkan,Talaba,122319,Toshkent viloyati,Olmaliq,348935,3,106,31204
96,Buxoro viloyati - G‘ijduvon,485af3a2-2e70-48ab-8cc3-0a21cc524903,Catherine Kelly,ayol,37,Ta'lim,72004179,15.56,36,2022-12-01,Jarayonda,Talaba,3613944,Buxoro,G‘ijduvon,62601,1,233,6501
97,Samarqand viloyati - Kattaqo‘rg‘on,81d98936-e9e2-4f40-bb57-3e7c65f9d61e,Vanessa White,ayol,37,Biznes,195239802,18.36,72,2025-08-03,Kechikkan,Fermer,42288341,Surxondaryo,Denov,128469,1,219,5813
98,Qoraqalpog‘iston - Nukus,feb8bc81-a732-4d7c-b9d9-ea61d95e6b33,Abigail James,erkak,61,Ipoteka,323791632,17.28,36,2025-09-03,Kechikkan,Talaba,33054683,Xorazm,Xiva,26077,0,243,1762
99,Toshkent viloyati - Angren,141ebc06-5ca8-4b25-a3e1-0c1ad0d34363,Jerry Wong,ayol,51,Biznes,290828599,18.45,36,2024-08-22,To'langan,Boshqaruvchi,88411371,Navoiy,Navoiy,40472,0,231,4876
100,Xorazm viloyati - Yangibozor,4840683b-2ecd-4a85-9888-d4636c09911b,Michael Padilla,erkak,60,Ipoteka,96409469,12.15,72,2023-06-06,Kechikkan,Talaba,55598161,Andijon,Andijon,535564,5,230,5751
101,Qashqadaryo viloyati - Qarshi,cf6c23df-22c3-4033-aff1-de89f1ecbfa2,Laura Salazar,ayol,46,Ipoteka,139187468,15.57,12,2022-04-03,Kechikkan,Fermer,13866585,Namangan,Pop,440092,5,239,25049
102,Qoraqalpog‘iston - Taxiatosh,dfb8b581-0bcd-46c4-a855-82343c47f99c,Alvin Oliver,ayol,40,Fermerlik,151075363,20.17,12,2024-07-29,To'langan,Ishchi,89931795,Namangan,Pop,440092,4,239,25049
103,Navoiy viloyati - Zarafshon,67b2f0ae-e5c5-48d6-992f-5ad831da03e1,Valerie Payne,ayol,35,Biznes,184803151,17.02,48,2023-04-08,Kechikkan,Talaba,34650227,Surxondaryo,Sherobod,218888,2,257,13143
104,Andijon viloyati - Shahrixon,66b3dddd-4c07-476a-998a-7880ff9daafa,Angela Stark,erkak,18,Avtokredit,93391383,17.33,72,2023-04-08,Kechikkan,Ishchi,93697810,Toshkent shahri,Mirzo Ulug‘bek,2171,1,101,261
105,Xorazm viloyati - Urganch,88c83da9-b4fc-45aa-96f8-6a442c1b7471,Tracey Johnson,ayol,25,Ta'lim,165855985,18.79,72,2023-09-05,Jarayonda,O'qituvchi,32443292,Qoraqalpogʻiston Respublikasi,Taxiatosh,149634,2,241,14462
106,Toshkent viloyati - Angren,fbcf74e5-df88-4342-bf51-bc69ec7da2ed,Eric Miller,ayol,70,Fermerlik,413422362,23.69,12,2023-02-15,Jarayonda,Fermer,779160,Fargʻona,Marg‘ilon,251803,3,266,15042
107,Jizzax viloyati - G‘allaorol,6525786e-5768-4a05-985c-39371be065ca,Pamela Smith,erkak,60,Ta'lim,41392335,13.13,60,2025-05-24,Kechikkan,Tadbirkor,71563910,Fargʻona,Qo‘qon,283539,3,211,26120
108,Sirdaryo viloyati - Guliston,94250601-3dc7-40d9-89ea-00be2042d86b,Steven Taylor,erkak,54,Avtokredit,409694382,15.26,24,2021-01-13,Jarayonda,O'qituvchi,52381229,Namangan,Namangan,54601,2,222,2839
